Channel Id,Channel Url,Channel Title
UCDQ5X_HslGuWb9Grkqm1toA,http://www.youtube.com/channel/UCDQ5X_HslGuWb9Grkqm1toA,MartSnack
UCDRmGMSgrtZkOsh_NQl4_xw,http://www.youtube.com/channel/UCDRmGMSgrtZkOsh_NQl4_xw,Secret Base
UCDbdpVSfdIPvCcrnwUBCtQA,http://www.youtube.com/channel/UCDbdpVSfdIPvCcrnwUBCtQA,GASTROFÍSICA
UCDfr25a1fzOgWZFwvIIRuHg,http://www.youtube.com/channel/UCDfr25a1fzOgWZFwvIIRuHg,GingerOfOz
UCDiKw3GnFIwyNJBzhCoRI-Q,http://www.youtube.com/channel/UCDiKw3GnFIwyNJBzhCoRI-Q,Framework
UCDm-nYAJuqrBIy57EgWAymw,http://www.youtube.com/channel/UCDm-nYAJuqrBIy57EgWAymw,Gamechamp3000
UCDpi86-drykZcnaDmR_4Yqw,http://www.youtube.com/channel/UCDpi86-drykZcnaDmR_4Yqw,Animal Wire
UCDsO-0Yo5zpJk575nKXgMVA,http://www.youtube.com/channel/UCDsO-0Yo5zpJk575nKXgMVA,RocketJump
UCE1jXbVAGJQEORz9nZqb5bQ,http://www.youtube.com/channel/UCE1jXbVAGJQEORz9nZqb5bQ,Ahoy
UCEIwxahdLz7bap-VDs9h35A,http://www.youtube.com/channel/UCEIwxahdLz7bap-VDs9h35A,Steve Mould
UCEKJKJ3FO-9SFv5x5BzyxhQ,http://www.youtube.com/channel/UCEKJKJ3FO-9SFv5x5BzyxhQ,2kliksphilip
UCEKRfoZ5t1VBdWfn9k6UgXw,http://www.youtube.com/channel/UCEKRfoZ5t1VBdWfn9k6UgXw,Alex Moukala Music
UCEOXxzW2vU0P-0THehuIIeg,http://www.youtube.com/channel/UCEOXxzW2vU0P-0THehuIIeg,Captain Disillusion
UCEas6ztXcwEkbaClw4zof9g,http://www.youtube.com/channel/UCEas6ztXcwEkbaClw4zof9g,ClassicGameJunkie
UCEgm-3RvRn4nCR-fGGVsfdQ,http://www.youtube.com/channel/UCEgm-3RvRn4nCR-fGGVsfdQ,Mattias Krantz
UCEmM7OESxvBZs9bSKSOSQiA,http://www.youtube.com/channel/UCEmM7OESxvBZs9bSKSOSQiA,ehmteevee
UCEozHN2uoprBmM2LSDDS7ew,http://www.youtube.com/channel/UCEozHN2uoprBmM2LSDDS7ew,hankgames
UCEp20NgOZHmgWdbQdHSxgjw,http://www.youtube.com/channel/UCEp20NgOZHmgWdbQdHSxgjw,This Does Not Compute
UCEr0CtoODV2mCMjjMHooLWQ,http://www.youtube.com/channel/UCEr0CtoODV2mCMjjMHooLWQ,potterpuppetpals
UCErSSa3CaP_GJxmFpdjG9Jw,http://www.youtube.com/channel/UCErSSa3CaP_GJxmFpdjG9Jw,Lessons from the Screenplay
UCEtB-nx5ngoNJWEzYa-yXBg,http://www.youtube.com/channel/UCEtB-nx5ngoNJWEzYa-yXBg,FilmJoy
UCEzWOOl-1mefMTBofYjc7Dg,http://www.youtube.com/channel/UCEzWOOl-1mefMTBofYjc7Dg,Table 8 Productions
UCF1fG3gT44nGTPU2sVLoFWg,http://www.youtube.com/channel/UCF1fG3gT44nGTPU2sVLoFWg,Patrick (H) Willems
UCF3UCTZiVg9wrIEzO7Om6jw,http://www.youtube.com/channel/UCF3UCTZiVg9wrIEzO7Om6jw,Mick West
UCF4J8-QgeoGESBTcOhQ6EHw,http://www.youtube.com/channel/UCF4J8-QgeoGESBTcOhQ6EHw,Speed Docs
UCFLwN7vRu8M057qJF8TsBaA,http://www.youtube.com/channel/UCFLwN7vRu8M057qJF8TsBaA,UpIsNotJump
UCFZHhzU1hVeRqvgor5Jl3iQ,http://www.youtube.com/channel/UCFZHhzU1hVeRqvgor5Jl3iQ,David Achu
UCFdazs-6CNzSVv1J0a-qy4A,http://www.youtube.com/channel/UCFdazs-6CNzSVv1J0a-qy4A,donoteat01
UCFeIEAkqvS4fJMTwUtF4OFw,http://www.youtube.com/channel/UCFeIEAkqvS4fJMTwUtF4OFw,Boarbarktree
UCFhXFikryT4aFcLkLw2LBLA,http://www.youtube.com/channel/UCFhXFikryT4aFcLkLw2LBLA,NileRed
UCFk__1iexL3T5gvGcMpeHNA,http://www.youtube.com/channel/UCFk__1iexL3T5gvGcMpeHNA,Looking Glass Universe
UCFqaprvZ2K5JOULCvr18NTQ,http://www.youtube.com/channel/UCFqaprvZ2K5JOULCvr18NTQ,How to Adult
UCFsIxa_wOsw6i9NWnmA7--w,http://www.youtube.com/channel/UCFsIxa_wOsw6i9NWnmA7--w,zayloox
UCG1h-Wqjtwz7uUANw6gazRw,http://www.youtube.com/channel/UCG1h-Wqjtwz7uUANw6gazRw,Lindsay Ellis
UCG7J20LhUeLl6y_Emi7OJrA,http://www.youtube.com/channel/UCG7J20LhUeLl6y_Emi7OJrA,The Studio
UCG9fr-NSOwaE65w092RO_AA,http://www.youtube.com/channel/UCG9fr-NSOwaE65w092RO_AA,Lady Emily
UCGRB1ZjIqAiaGwt-XLq9CnA,http://www.youtube.com/channel/UCGRB1ZjIqAiaGwt-XLq9CnA,Sciencium
UCGRhAtuoBI6y0h9BblsxVdQ,http://www.youtube.com/channel/UCGRhAtuoBI6y0h9BblsxVdQ,JeremyThunder
UCGSW-G716AyjUlNJCNl-mAg,http://www.youtube.com/channel/UCGSW-G716AyjUlNJCNl-mAg,ele VR
UCGTh1c-Ap9b1ZOHjkCEdpKw,http://www.youtube.com/channel/UCGTh1c-Ap9b1ZOHjkCEdpKw,katbamkapow
UCGaVdbSav8xWuFWTadK6loA,http://www.youtube.com/channel/UCGaVdbSav8xWuFWTadK6loA,vlogbrothers
UCGh4KSR8TZZlyq3qQDBsBLA,http://www.youtube.com/channel/UCGh4KSR8TZZlyq3qQDBsBLA,ContraPointsLive
UCGog4JPn5-W3_XIKccENysg,http://www.youtube.com/channel/UCGog4JPn5-W3_XIKccENysg,halim alrah
UCHC4G4X-OR5WkY-IquRGa3Q,http://www.youtube.com/channel/UCHC4G4X-OR5WkY-IquRGa3Q,Tom Scott plus
